Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,clustering,eigencentrality,pageranks
689,,0,3,3,5,0.361622,0.383991,0,0,107,4,0.333333,0,0.000165
697,,0,2,2,6,0.307864,0.318674,0,0,108,1,0,0,0.000165
699,,0,2,2,6,0.307864,0.318674,0,0,109,1,0,0,0.000165
701,,2,1,3,7,0.214972,0.220738,967,0,70,3,0,0.001836,0.000457
702,,1,3,4,6,0.273762,0.285516,961,0,70,3,0,0.000505,0.000554
705,,0,2,2,6,0.301032,0.311284,0,0,110,4,0,0,0.000165
752,,3,2,5,6,0.301284,0.314033,7.578332,0,70,8,0.166667,0.009125,0.000805
722,,1,9,10,6,0.362062,0.387959,1942.38254,0,70,7,0.188889,0.000524,0.000243
723,,2,2,4,6,0.270833,0.281341,968.533333,0,70,7,0.25,0.000971,0.000266
724,,1,3,4,6,0.286993,0.297419,1.833333,0,70,7,0.166667,0.000447,0.000188
725,,1,5,6,6,0.288197,0.300017,3,0,70,7,0.2,0.000447,0.000188
726,,1,2,3,6,0.270757,0.281289,3.166667,0,70,7,0.166667,0.000483,0.000279
771,,2,2,4,6,0.286054,0.295946,23.296372,0,70,3,0,0.008572,0.00034
745,,5,5,10,5,0.409536,0.433974,8.583661,0,70,8,0.375,0.016885,0.000543
742,,0,3,3,6,0.293598,0.304379,0,0,111,8,0,0,0.000165
743,,0,6,6,5,0.416883,0.440845,0,0,112,3,0.433333,0,0.000165
746,,1,3,4,6,0.359089,0.382519,0,0,70,9,0.5,0.000519,0.000215
747,,2,3,5,6,0.358955,0.382432,2,0,70,9,0.45,0.000966,0.000276
749,,2,3,5,6,0.358688,0.382173,5.518478,0,70,9,0.3,0.001002,0.000294
769,,2,4,6,6,0.29178,0.304019,6.889322,0,70,8,0.166667,0.00357,0.000998
770,,2,0,2,0,0,0,0,0,61,3,0,0.022169,0.001172
794,,0,3,3,6,0.301126,0.311734,0,0,113,8,0,0,0.000165
907,,2,2,4,6,0.295002,0.305353,10.272554,0,70,4,0.083333,0.002431,0.000296
991,,2,2,4,6,0.279245,0.292914,8.509678,0,70,9,0,0.004059,0.000292
824,,0,3,3,6,0.358927,0.38252,0,0,114,3,0.333333,0,0.000165
835,,0,2,2,6,0.308357,0.31928,0,0,115,8,0,0,0.000165
841,,1,5,6,6,0.362608,0.386937,1921.333333,0,70,6,0.1,0.000859,0.000647
868,,0,2,2,6,0.278888,0.292281,0,0,116,2,0,0,0.000165
875,,1,4,5,6,0.361111,0.385897,6.797161,0,70,8,0.333333,0.001756,0.00035
880,,0,4,4,6,0.359597,0.383506,0,0,117,6,0.166667,0,0.000165
882,,0,3,3,6,0.29944,0.310627,0,0,118,8,0,0,0.000165
884,,0,2,2,6,0.301032,0.311284,0,0,119,4,0,0,0.000165
888,,0,3,3,6,0.30905,0.320595,0,0,120,0,0.333333,0,0.000165
887,,2,0,2,0,0,0,0,0,53,0,0,0.001765,0.00035
926,,1,3,4,6,0.36929,0.394733,64.119856,0,70,3,0.333333,0.005109,0.000631
916,,0,2,2,6,0.300938,0.311319,0,0,121,4,0,0,0.000165
942,,0,2,2,6,0.308654,0.319886,0,0,122,1,0.5,0,0.000165
947,,0,4,4,6,0.370955,0.396954,0,0,123,8,0,0,0.000165
956,,0,3,3,6,0.288929,0.299913,0,0,124,0,0,0,0.000165
957,,0,3,3,6,0.288929,0.299913,0,0,125,0,0,0,0.000165
958,,0,3,3,6,0.288929,0.299913,0,0,126,0,0,0,0.000165
959,,0,3,3,6,0.288929,0.299913,0,0,127,8,0,0,0.000165
960,,0,3,3,6,0.288929,0.299913,0,0,128,0,0,0,0.000165
961,,0,3,3,6,0.288929,0.299913,0,0,129,0,0,0,0.000165
963,,0,3,3,6,0.288929,0.299913,0,0,130,1,0,0,0.000165
964,,0,3,3,6,0.288929,0.299913,0,0,131,0,0,0,0.000165
965,,0,3,3,6,0.288929,0.299913,0,0,132,0,0,0,0.000165
966,,0,3,3,6,0.288929,0.299913,0,0,133,0,0,0,0.000165
967,,0,3,3,6,0.288929,0.299913,0,0,134,0,0,0,0.000165
968,,0,3,3,6,0.289276,0.300433,0,0,135,6,0,0,0.000165
969,,0,3,3,6,0.288929,0.299913,0,0,136,0,0,0,0.000165
970,,0,3,3,6,0.288929,0.299913,0,0,137,0,0,0,0.000165
971,,0,3,3,6,0.289102,0.300173,0,0,138,0,0,0,0.000165
972,,0,3,3,6,0.288929,0.299913,0,0,139,1,0,0,0.000165
973,,0,3,3,6,0.288929,0.299913,0,0,140,1,0,0,0.000165
974,,0,3,3,6,0.288929,0.299913,0,0,141,8,0,0,0.000165
975,,0,3,3,6,0.288929,0.299913,0,0,142,0,0,0,0.000165
976,,0,3,3,6,0.288929,0.299913,0,0,143,0,0,0,0.000165
983,,0,3,3,6,0.30075,0.311215,0,0,144,8,0,0,0.000165
985,,0,2,2,6,0.309646,0.320838,0,0,145,0,0,0,0.000165
990,,2,4,6,6,0.36057,0.384321,4845.868254,0,70,7,0.233333,0.002538,0.000367
993,,1,4,5,6,0.361382,0.384633,4.856061,0,70,9,0.333333,0.002036,0.000232
1016,,2,3,5,6,0.360435,0.383437,670.496086,0,70,9,0.25,0.002967,0.000353
1017,,2,3,5,6,0.36057,0.383524,1240.15436,0,70,9,0.15,0.001564,0.000366
995,,2,3,5,6,0.360165,0.383541,1127.647285,0,70,7,0.1,0.001652,0.000477
1012,,2,2,4,6,0.269997,0.280735,48.292137,0,70,9,0.083333,0.001465,0.000434
1002,,0,3,3,6,0.358126,0.381776,0,0,146,7,0.166667,0,0.000165
1005,,1,3,4,6,0.359357,0.382952,16.712969,0,70,9,0.25,0.000537,0.000225
1036,,1,4,5,6,0.36179,0.386504,2.7,0,70,0,0.416667,0.002322,0.000269
